ID_Venta,ID_Cliente,Fecha_Venta,Metodo_Pago,Modo_Entrega,ID_Detalle_Venta,ID_Producto_Venta,Cantidad,Precio_Unitario,Longitud_mt,Capas,Tipo_Empaque,ID_Producto,Tipo_Producto,Denier,Longitud_mm,Descripcion,ID_Importacion,Costo_Unitario,Volumen,Fecha_Importacion,Costo_Transporte,IVA,Arancel,Costo_Agente,Fecha_Costo,ID_Produccion,Costo_Produccion,Cantidad_Producida,Fecha_Produccion
1,1,2023-01-02,Efectivo,Retirado,1,1,20.0,20.0,,,saco,1,Fibra Siliconada,15,64,Grade A made in China,1.0,1.27,10000.0,2023-01-04,1016.0,1898.65,1270.0,63.5,,1.0,0.3,3000.0,2023-01-31
1,1,2023-01-02,Efectivo,Retirado,2,1,20.0,20.0,,,saco,1,Fibra Siliconada,15,64,Grade A made in China,1.0,1.27,10000.0,2023-01-04,1016.0,1898.65,1270.0,63.5,,1.0,0.3,3000.0,2023-01-31
1,1,2023-01-02,Efectivo,Retirado,3,3,20.0,20.5,,,saco,3,Fibra Siliconada,7,64,"material suave grade a, hcs - made in China",,,,,,,,,,,,,
1,1,2023-01-02,Efectivo,Retirado,4,2,10.0,20.0,,,saco,2,Fibra Siliconada,18,64,"material extra aspero grade a, hcs - made in China",,,,,,,,,,,,,
1,1,2023-01-02,Efectivo,Retirado,5,2,10.0,20.0,,,saco,2,Fibra Siliconada,18,64,"material extra aspero grade a, hcs - made in China",,,,,,,,,,,,,
1,1,2023-01-02,Efectivo,Retirado,6,5,9.7,21.5,2.2,3.0,rollo,5,Fibra Discontinua de poliéster,18,64,psf material rigido de difusión para la creación de guata o lamina de poliéster,,,,,,,,,,,,,
1,1,2023-01-02,Efectivo,Retirado,7,5,9.6,21.5,2.2,3.0,rollo,5,Fibra Discontinua de poliéster,18,64,psf material rigido de difusión para la creación de guata o lamina de poliéster,,,,,,,,,,,,,
1,1,2023-01-02,Efectivo,Retirado,8,5,10.0,21.5,2.2,3.0,rollo,5,Fibra Discontinua de poliéster,18,64,psf material rigido de difusión para la creación de guata o lamina de poliéster,,,,,,,,,,,,,
1,1,2023-01-02,Efectivo,Retirado,9,5,11.0,21.5,2.2,2.0,rollo,5,Fibra Discontinua de poliéster,18,64,psf material rigido de difusión para la creación de guata o lamina de poliéster,,,,,,,,,,,,,
1,1,2023-01-02,Efectivo,Retirado,10,5,11.3,21.5,2.2,2.0,rollo,5,Fibra Discontinua de poliéster,18,64,psf material rigido de difusión para la creación de guata o lamina de poliéster,,,,,,,,,,,,,
2,1,2023-01-07,Efectivo,Retirado,11,1,10.0,20.0,,,saco,1,Fibra Siliconada,15,64,Grade A made in China,1.0,1.27,10000.0,2023-01-04,1016.0,1898.65,1270.0,63.5,,1.0,0.3,3000.0,2023-01-31
